what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.codan.core,1.0.0.201102110609,"org.eclipse.cdt.codan.core",1386923925298
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201102110609,"org.eclipse.cdt.codan.core.cxx",1386923925299
started,bundle,org.eclipse.cdt.codan.ui.cxx,1.0.0.201102110609,"org.eclipse.cdt.codan.ui.cxx",1386923925299
started,bundle,org.eclipse.cdt.core,5.2.1.201102110609,"org.eclipse.cdt.core",1386923925325
started,bundle,org.eclipse.cdt.core.tests,5.2.1.201102110609,"org.eclipse.cdt.core.tests",1386923925358
started,bundle,org.eclipse.cdt.make.core,7.0.1.201102110609,"org.eclipse.cdt.make.core",1386923925358
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.ui",1386923925359
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.2.201102110609,"org.eclipse.cdt.managedbuilder.core",1386923925369
started,bundle,org.eclipse.cdt.scripting,1.0.0.201102110609,"org.eclipse.cdt.scripting",1386923925370
started,bundle,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui",1386923925389
started,bundle,org.eclipse.cdt.ui.tests,5.1.1.201102110609,"org.eclipse.cdt.ui.tests",1386923925453
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1386923925454
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1386923925454
os,sysinfo,,,"macosx",1386923925458
arch,sysinfo,,,"x86_64",1386923925458
ws,sysinfo,,,"cocoa",1386923925458
locale,sysinfo,,,"en_US",1386923925458
processors,sysinfo,,,"4",1386923925458
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1386923925458
java.runtime.version,sysinfo,,,"1.6.0_65-b14-462-11M4609",1386923925458
java.specification.name,sysinfo,,,"Java Platform API Specification",1386923925458
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1386923925458
java.specification.version,sysinfo,,,"1.6",1386923925458
java.vendor,sysinfo,,,"Apple Inc.",1386923925458
java.version,sysinfo,,,"1.6.0_65",1386923925458
java.vm.info,sysinfo,,,"mixed mode",1386923925458
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1386923925458
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1386923925458
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1386923925458
java.vm.specification.version,sysinfo,,,"1.0",1386923925458
java.vm.vendor,sysinfo,,,"Apple Inc.",1386923925458
java.vm.version,sysinfo,,,"20.65-b04-462",1386923925458
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1386923926575
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386925050176
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1386925050294
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386925051988
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386925053448
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386925053782
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1386925055557
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1386925056171
